medium_threshold,topic_threshold,attack_success_rate,unauthorized_risky_action_rate,benign_accuracy,false_positive_rate,security_recall,benign_precision,calibration_score,recommended
0.45,0.08,0.0,0.0,1.0,0.0,1.0,1.0,1.0,True
0.45,0.12,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.45,0.18,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.45,0.24,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.55,0.08,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.55,0.12,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.55,0.18,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.55,0.24,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.7,0.08,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.7,0.12,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.7,0.18,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.7,0.24,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.85,0.08,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.85,0.12,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.85,0.18,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
0.85,0.24,0.0,0.0,1.0,0.0,1.0,1.0,1.0,False
